MODEL_CATALOG	MODEL_SCHEMA	MODEL_NAME	ATTRIBUTE_NAME	NODE_NAME	NODE_UNIQUE_NAME	NODE_TYPE	NODE_GUID	NODE_CAPTION	CHILDREN_CARDINALITY	PARENT_UNIQUE_NAME	NODE_DESCRIPTION	NODE_RULE	MARGINAL_RULE	NODE_PROBABILITY	MARGINAL_PROBABILITY	NODE_DISTRIBUTION	NODE_SUPPORT	MSOLAP_MODEL_COLUMN	MSOLAP_NODE_SCORE	MSOLAP_NODE_SHORT_CAPTION
Analysis Services Project2		Process Events		1066	1066	7		Duration = 17332 - 30083, Status = Process Run	0	0	Duration = 17332 - 30083, Status = Process Run			0,042390231418857165	0,042390231418857165	NODE_DISTRIBUTION	6957		1	
Analysis Services Project2		Process Events		1111	1111	7		Duration = 30083 - 37171, User Domain Name = NT AUTHORITY	0	0	Duration = 30083 - 37171, User Domain Name = NT AUTHORITY			0,040556185183831146	0,040556185183831146	NODE_DISTRIBUTION	6656		1,2195053214086349	
Analysis Services Project2		Process Events		1127	1127	7		Duration = 30083 - 37171, User Name = SYSTEM, User Domain Name = NT AUTHORITY	0	0	Duration = 30083 - 37171, User Name = SYSTEM, User Domain Name = NT AUTHORITY			0,040556185183831146	0,040556185183831146	NODE_DISTRIBUTION	6656		0,049458483647716114	
Analysis Services Project2		Process Events		1110	1110	7		Duration = 30083 - 37171, User Name = SYSTEM	0	0	Duration = 30083 - 37171, User Name = SYSTEM			0,040556185183831146	0,040556185183831146	NODE_DISTRIBUTION	6656		1,2195053214086349	
Analysis Services Project2		Process Events		1129	1129	7		Duration = 30083 - 37171, User Domain Name = NT AUTHORITY, Status = Process Run	0	0	Duration = 30083 - 37171, User Domain Name = NT AUTHORITY, Status = Process Run			0,040556185183831146	0,040556185183831146	NODE_DISTRIBUTION	6656		0,059359728975493249	
Analysis Services Project2		Process Events		1128	1128	7		Duration = 30083 - 37171, User Name = SYSTEM, Status = Process Run	0	0	Duration = 30083 - 37171, User Name = SYSTEM, Status = Process Run			0,040556185183831146	0,040556185183831146	NODE_DISTRIBUTION	6656		0,059359728975493249	
Analysis Services Project2		Process Events		1109	1109	7		Duration = 30083 - 37171, Parent = Unknown Process	0	0	Duration = 30083 - 37171, Parent = Unknown Process			0,03739382639320489	0,03739382639320489	NODE_DISTRIBUTION	6137		1,017791566103186	
Analysis Services Project2		Process Events		1126	1126	7		Duration = 30083 - 37171, Parent = Unknown Process, Status = Process Run	0	0	Duration = 30083 - 37171, Parent = Unknown Process, Status = Process Run			0,03739382639320489	0,03739382639320489	NODE_DISTRIBUTION	6137		0,059359728975493249	
Analysis Services Project2		Process Events		1125	1125	7		Duration = 30083 - 37171, Parent = Unknown Process, User Domain Name = NT AUTHORITY	0	0	Duration = 30083 - 37171, Parent = Unknown Process, User Domain Name = NT AUTHORITY			0,035498848389573359	0,035498848389573359	NODE_DISTRIBUTION	5826		0,05209864643769891	
Analysis Services Project2		Process Events		1124	1124	7		Duration = 30083 - 37171, Parent = Unknown Process, User Name = SYSTEM	0	0	Duration = 30083 - 37171, Parent = Unknown Process, User Name = SYSTEM			0,035498848389573359	0,035498848389573359	NODE_DISTRIBUTION	5826		0,05209864643769891	
Analysis Services Project2		Process Events		1038	1038	7		Process = WINWORD.EXE, Status = Process Run	0	0	Process = WINWORD.EXE, Status = Process Run			0,034603151391072277	0,034603151391072277	NODE_DISTRIBUTION	5679		1	
Analysis Services Project2		Process Events		87	87	7		Process = WINWORD.EXE	0	0	Process = WINWORD.EXE			0,034603151391072277	0,034603151391072277	NODE_DISTRIBUTION	5679		1	
Analysis Services Project2		Process Events		86	86	7		Process = userinit.exe	0	0	Process = userinit.exe			0,033280932012332592	0,033280932012332592	NODE_DISTRIBUTION	5462		1	
Analysis Services Project2		Process Events		1019	1019	7		Process = userinit.exe, Status = Process Run	0	0	Process = userinit.exe, Status = Process Run			0,033280932012332592	0,033280932012332592	NODE_DISTRIBUTION	5462		1	
